y_tot,edad,grado_esc,hora_delito_12_6,hora_delito_12_18,hora_delito_18_24,lugar_delito_otro,lugar_delito_calle,lugar_delito_negocio_est,lugar_delito_carretera,lugar_delito_transporte_pub,lugar_delito_trabajo,lugar_delito_lug_publico,si_vic_acompanada,si_delinc_desconocidos,no_delinc_desconocidos,si_delinc_con_vista,si_delinc_con_pocotrat,si_delinc_con_cercano,si_delinc_familiares,si_no_sabe,si_arma,si_violencia_fisica,si_acudio_mp,tiempo_viv_6_12,tiempo_viv_mas_12,seguro_en_casa_seguro,seguro_en_trabajo,seguro_en_calle,seguro_transp_pub,na_seguro_transp_pub,conf_vecinos_mucha,conf_vecinos_nada,conf_vecinos_alguna,conf_companeros_mucho,conf_companeros_nada,conf_companeros_alguna,conf_familiares_mucha,conf_familiares_nada,conf_familiares_alguna,conf_amigos_mucha,conf_amigos_nada,conf_amigos_alguna,TDPAREN_1_jefe, TDPAREN_4_padre,TDPAREN_6_sin_parentesco,TDPAREN_2_esposo,TDPAREN_5_otro
1,0.029561929,0.023931085,0,0.001407711,0,0,0,0,0,0,0,0.001407711,0.001407711,0,0.001407711,0,0.001407711,0,0,0,0,0,0,0,0.001407711,0.001407711,0.001407711,0,0,0,0,0,0,0,0,0.001407711,0.001407711,0,0,0.001407711,0,0,0,0,0,0,0.001407711
1,0.026671116,0.009232309,0,0.001025812,0,0,0.001025812,0,0,0,0,0,0,0,0.001025812,0,0,0.001025812,0,0,0,0,0,0,0.001025812,0.001025812,0,0,0,0,0.001025812,0,0,0,0,0,0.001025812,0,0,0,0,0.001025812,0,0,0,0.001025812,0
1,0.009421405,0.004037745,0,0,0.000448638,0,0,0,0,0,0,0.000448638,0.000448638,0,0.000448638,0,0,0.000448638,0,0,0,0.000448638,0.000448638,0,0.000448638,0.000448638,0,0,0,0,0,0,0,0,0,0,0.000448638,0,0,0,0,0,0,0,0,0,0.000448638
1,0.007408094,0.001201313,0,0,0,0,0,0.000200219,0,0,0,0,0,0,0.000200219,0.000200219,0,0,0,0,0,0,0,0,0.000200219,0,0,0,0,0,0,0,0,0,0,0,0.000200219,0,0,0,0,0,0,0,0,0.000200219,0
1,0.006566434,0.002814186,0,0,0.000312687,0,0.000312687,0,0,0,0,0,0.000312687,0.000312687,0,0,0,0,0,0,0,0,0,0,0.000312687,0,0,0,0,0,0,0,0,0,0,0,0.000312687,0,0,0,0,0,0,0,0,0.000312687,0
1,0.009541289,0.003100919,0,0,0,0,0.000238532,0,0,0,0,0,0,0.000238532,0,0,0,0,0,0,0,0,0,0,0.000238532,0.000238532,0,0,0,0,0,0,0.000238532,0,0,0,0,0,0.000238532,0,0,0.000238532,0.000238532,0,0,0,0
1,0.004694018,0.002347009,0,0,0.000260779,0,0.000260779,0,0,0,0,0,0,0.000260779,0,0,0,0,0,0,0,0,0,0,0.000260779,0,0,0,0,0,0,0.000260779,0,0,0.000260779,0,0,0,0.000260779,0,0.000260779,0,0,0,0,0,0.000260779
1,0.007897518,0.00447526,0,0.000263251,0,0,0,0.000263251,0,0,0,0,0.000263251,0,0.000263251,0,0,0.000263251,0,0,0,0,0,0,0.000263251,0,0.000263251,0,0,0,0,0,0.000263251,0,0,0,0.000263251,0,0,0,0,0,0.000263251,0,0,0,0
1,0.004152685,0.001038171,0,0.000173029,0,0,0.000173029,0,0,0,0,0,0,0,0.000173029,0,0.000173029,0,0,0,0,0.000173029,0,0,0,0.000173029,0,0.000173029,0.000173029,0,0,0.000173029,0,0,0,0,0.000173029,0,0,0,0,0,0,0,0,0.000173029,0
1,0.001894663,0.001082664,0,0,9.02E-05,0,9.02E-05,0,0,0,0,0,0,9.02E-05,0,0,0,0,0,0,9.02E-05,9.02E-05,0,0,9.02E-05,0,0,0,0,0,0,0,9.02E-05,0,0,9.02E-05,0,0,9.02E-05,0,0,0,0,0,0,0,9.02E-05
1,0.003411134,0.000852784,0,0,0.000142131,0,0,0,0,0,0,0,0.000142131,0.000142131,0,0,0,0,0,0,0,0,0,0,0.000142131,0,0,0,0.000142131,0,0,0.000142131,0,0,0,0,0,0,0,0,0.000142131,0,0,0,0,0.000142131,0
1,0.011627519,0.00436032,0.00048448,0,0,0,0.00048448,0,0,0,0,0,0,0.00048448,0,0,0,0,0,0,0,0.00048448,0,0,0.00048448,0.00048448,0.00048448,0.00048448,0,0,0,0.00048448,0,0,0,0,0.00048448,0,0,0,0,0,0,0,0,0.00048448,0
0,0.021752161,0.01285355,0,0.000988735,0,0,0.000988735,0,0,0,0,0,0.000988735,0.000988735,0,0,0,0,0,0,0,0,0,0,0.000988735,0.000988735,0.000988735,0,0,0.000988735,0,0,0,0,0,0.000988735,0.000988735,0,0,0,0,0.000988735,0,0,0,0,0.000988735
1,0.016036039,0.01218739,0,0,0.000641442,0,0,0,0,0.000641442,0,0,0,0.000641442,0,0,0,0,0,0,0,0.000641442,0,0,0.000641442,0,0.000641442,0,0,0,0,0,0.000641442,0,0,0,0.000641442,0,0,0.000641442,0,0,0.000641442,0,0,0,0
1,0.009294105,0.003485289,0,0,0,0,0,0,0,0,0,0,0,0,0.000290441,0,0,0.000290441,0,0,0,0.000290441,0,0,0.000290441,0.000290441,0.000290441,0,0,0,0,0,0.000290441,0,0,0.000290441,0.000290441,0,0,0.000290441,0,0,0,0,0,0,0.000290441
